cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Occupant of pick-up truck or van injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,51,18,69,71,8,79,15,8,23,3,1,4,6,4,10,3,2,5,9,2,11,7,2,9,16,2,18,8,4,12
Occupant of pick-up truck or van injured in collision with pedestrian or animal,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Occupant of pick-up truck or van injured in collision with pedal cycle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van",CHAPTER XX External causes of morbidity and mortality,,13,3,16,13,1,14,3,4,7,0,0,0,1,0,1,2,0,2,2,0,2,2,0,2,2,2,4,2,1,3
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus,CHAPTER XX External causes of morbidity and mortality,,11,5,16,7,1,8,2,1,3,2,1,3,0,0,0,1,2,3,2,0,2,1,1,2,3,0,3,3,1,4
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupant of pick-up truck or van injured in collision with fixed or stationary object,CHAPTER XX External causes of morbidity and mortality,,14,5,19,29,1,30,5,0,5,1,0,1,3,1,4,0,0,0,4,0,4,1,0,1,9,0,9,1,0,1
Occupant of pick-up truck or van injured in noncollision transport accident,CHAPTER XX External causes of morbidity and mortality,,13,5,18,20,3,23,5,3,8,0,0,0,1,1,2,0,0,0,0,1,1,3,1,4,2,0,2,2,2,4
Occupant of pick-up truck or van injured in other and unspecified transport accidents,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Occupant of heavy transport vehicle injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,52,0,52,42,2,44,27,5,32,34,0,34,31,0,31,21,0,21,36,3,39,33,1,34,28,4,32,26,1,27
Occupant of heavy transport vehicle injured in collision with pedestrian or animal,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Occupant of heavy transport vehicle injured in collision with pedal cycle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van",CHAPTER XX External causes of morbidity and mortality,,4,0,4,3,0,3,3,2,5,2,0,2,4,0,4,3,0,3,2,1,3,6,0,6,4,0,4,1,1,2
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus,CHAPTER XX External causes of morbidity and mortality,,13,0,13,8,0,8,6,2,8,9,0,9,6,0,6,5,0,5,9,0,9,6,0,6,7,1,8,5,0,5
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Occupant of heavy transport vehicle injured in collision with fixed or stationary object,CHAPTER XX External causes of morbidity and mortality,,16,0,16,9,1,10,13,1,14,11,0,11,10,0,10,7,0,7,16,2,18,10,0,10,9,1,10,11,0,11
Occupant of heavy transport vehicle injured in noncollision transport accident,CHAPTER XX External causes of morbidity and mortality,,15,0,15,19,1,20,3,0,3,9,0,9,9,0,9,6,0,6,8,0,8,10,1,11,7,2,9,7,0,7
Occupant of heavy transport vehicle injured in other and unspecified transport accidents,CHAPTER XX External causes of morbidity and mortality,,3,0,3,2,0,2,2,0,2,2,0,2,2,0,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
Bus occupant injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,2,2,4,3,3,6,2,0,2,2,1,3,2,0,2,0,0,0,2,2,4,1,0,1,4,1,5,6,5,11
Bus occupant injured in collision with pedestrian or animal,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus occupant injured in collision with pedal cycle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus occupant injured in collision with two- or three-wheeled motor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bus occupant injured in collision with car, pick-up truck or van",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3
Bus occupant injured in collision with heavy transport vehicle or bus,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,4,0,4
Bus occupant injured in collision with railway train or railway vehicle,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bus occupant injured in collision with other nonmotor vehicle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Bus occupant injured in collision with fixed or stationary object,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,1,1
Bus occupant injured in noncollision transport accident,CHAPTER XX External causes of morbidity and mortality,,1,2,3,2,3,5,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,2,1,2,3
Bus occupant injured in other and unspecified transport accidents,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other land transport accidents,CHAPTER XX External causes of morbidity and mortality,,44,12,56,68,15,83,55,22,77,71,26,97,43,20,63,87,21,108,67,15,82,68,22,90,57,14,71,59,16,75
Animal-rider or occupant of animal-drawn vehicle injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,3,2,5,3,1,4,5,1,6,5,4,9,2,2,4,8,7,15,3,7,10,3,5,8,4,4,8,2,6,8
Occupant of railway train or railway vehicle injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,2,0,2,1,0,1,0,0,0,0,1,1,3,0,3,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0
Occupant of streetcar injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Occupant of special vehicle mainly used on industrial premises injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,6,2,8,7,0,7,1,0,1,3,0,3,2,0,2,8,0,8,8,0,8,5,0,5,3,0,3,3,0,3
Occupant of special vehicle mainly used in agriculture injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,10,0,10,19,0,19,13,3,16,9,4,13,8,1,9,17,1,18,13,1,14,15,1,16,18,1,19,19,3,22
Occupant of special construction vehicle injured in transport accident,CHAPTER XX External causes of morbidity and mortality,,6,0,6,4,0,4,5,0,5,5,0,5,3,0,3,3,0,3,2,0,2,4,0,4,6,0,6,4,0,4
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident",CHAPTER XX External causes of morbidity and mortality,,6,2,8,15,3,18,6,2,8,19,3,22,10,6,16,19,8,27,15,0,15,20,4,24,13,1,14,11,1,12
Traffic accident of specified type but victim's mode of transport unknown,CHAPTER XX External causes of morbidity and mortality,,2,1,3,0,0,0,0,1,1,1,0,1,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Nontraffic accident of specified type but victim's mode of transport unknown,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified",CHAPTER XX External causes of morbidity and mortality,,9,5,14,18,11,29,25,15,40,28,14,42,15,9,24,29,5,34,22,7,29,21,12,33,12,8,20,20,6,26
Water transport accidents,CHAPTER XX External causes of morbidity and mortality,,31,6,37,39,9,48,46,2,48,76,29,105,51,5,56,52,6,58,35,2,37,41,3,44,42,7,49,31,4,35
Accident to watercraft causing drowning and submersion,CHAPTER XX External causes of morbidity and mortality,,8,1,9,19,5,24,25,1,26,49,26,75,29,3,32,20,2,22,12,0,12,19,0,19,21,4,25,16,1,17
Accident to watercraft causing other injury,CHAPTER XX External causes of morbidity and mortality,,8,4,12,0,1,1,6,1,7,1,1,2,2,0,2,4,0,4,5,1,6,4,1,5,4,2,6,3,2,5
Water-transport-related drowning and submersion without accident to watercraft,CHAPTER XX External causes of morbidity and mortality,,10,1,11,13,2,15,9,0,9,16,2,18,16,1,17,19,2,21,11,0,11,13,0,13,11,1,12,11,1,12
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion",CHAPTER XX External causes of morbidity and mortality,,3,0,3,2,0,2,1,0,1,4,0,4,0,0,0,2,1,3,2,1,3,0,1,1,1,0,1,0,0,0
Other and unspecified water transport accidents,CHAPTER XX External causes of morbidity and mortality,,2,0,2,5,1,6,5,0,5,6,0,6,4,1,5,7,1,8,5,0,5,5,1,6,5,0,5,1,0,1
Air and space transport accidents,CHAPTER XX External causes of morbidity and mortality,,38,10,48,30,3,33,23,3,26,37,7,44,36,4,40,43,7,50,31,5,36,31,5,36,20,1,21,34,6,40
Accident to powered aircraft causing injury to occupant,CHAPTER XX External causes of morbidity and mortality,,36,10,46,23,3,26,23,2,25,31,7,38,30,4,34,33,6,39,26,5,31,24,4,28,16,1,17,23,5,28
Accident to nonpowered aircraft causing injury to occupant,CHAPTER XX External causes of morbidity and mortality,,1,0,1,2,0,2,0,0,0,5,0,5,2,0,2,5,1,6,3,0,3,4,0,4,2,0,2,6,0,6
Other specified air transport accidents,CHAPTER XX External causes of morbidity and mortality,,1,0,1,5,0,5,0,1,1,1,0,1,4,0,4,5,0,5,2,0,2,3,1,4,2,0,2,5,1,6
Other and unspecified transport accidents,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,4,3,7,5,1,6,2,1,3
Other specified transport accidents,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,2,2,4,2,0,2,0,0,0
Unspecified transport accident,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,1,4,2,1,3
Other external causes of accidental injury,CHAPTER XX External causes of morbidity and mortality,,"2,140","1,665","3,805","2,319","1,719","4,038","2,247","1,753","4,000","2,380","1,928","4,308","2,312","2,004","4,316","2,360","1,994","4,354","2,722","2,307","5,029","2,899","2,455","5,354","3,156","2,549","5,705","3,022","2,551","5,573"
Falls,CHAPTER XX External causes of morbidity and mortality,,702,759,"1,461",748,702,"1,450",805,886,"1,691",910,962,"1,872",945,"1,072","2,017",952,"1,039","1,991","1,136","1,263","2,399","1,196","1,369","2,565","1,286","1,380","2,666","1,313","1,469","2,782"
Fall on same level involving ice and snow,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fall on same level from slipping, tripping and stumbling",CHAPTER XX External causes of morbidity and mortality,,215,230,445,257,277,534,209,241,450,331,388,719,260,329,589,178,202,380,105,101,206,175,187,362,145,176,321,150,187,337
"Fall involving ice-skates, skis, roller-skates or skateboards",CHAPTER XX External causes of morbidity and mortality,,4,0,4,0,0,0,2,0,2,1,0,1,3,0,3,0,0,0,1,0,1,4,0,4,3,1,4,2,0,2
"Other fall on same level due to collision with, or pushing by, another person",CHAPTER XX External causes of morbidity and mortality,,1,2,3,2,0,2,0,2,2,1,1,2,1,1,2,2,1,3,0,1,1,1,2,3,4,1,5,4,1,5
Fall while being carried or supported by other persons,CHAPTER XX External causes of morbidity and mortality,,0,2,2,1,0,1,0,0,0,1,1,2,1,1,2,0,2,2,0,0,0,0,1,1,1,1,2,3,2,5
Fall involving wheelchair,CHAPTER XX External causes of morbidity and mortality,,3,6,9,4,5,9,5,7,12,8,5,13,3,10,13,4,3,7,2,6,8,3,10,13,5,4,9,4,6,10
Fall involving bed,CHAPTER XX External causes of morbidity and mortality,,12,23,35,17,13,30,21,27,48,31,31,62,31,36,67,20,28,48,24,33,57,32,35,67,33,37,70,37,39,76
Fall involving chair,CHAPTER XX External causes of morbidity and mortality,,11,10,21,9,11,20,9,9,18,14,14,28,15,19,34,13,17,30,18,11,29,17,21,38,22,20,42,13,20,33
Fall involving other furniture,CHAPTER XX External causes of morbidity and mortality,,6,5,11,4,6,10,0,3,3,1,0,1,2,2,4,1,5,6,4,2,6,2,4,6,2,3,5,4,2,6
Fall involving playground equipment,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Fall on and from stairs and steps,CHAPTER XX External causes of morbidity and mortality,,34,30,64,52,13,65,27,17,44,43,20,63,26,26,52,36,34,70,40,32,72,38,24,62,44,24,68,49,28,77
Fall on and from ladder,CHAPTER XX External causes of morbidity and mortality,,25,3,28,11,1,12,23,2,25,33,3,36,23,1,24,21,1,22,25,6,31,22,2,24,17,1,18,19,2,21
Fall on and from scaffolding,CHAPTER XX External causes of morbidity and mortality,,3,0,3,2,0,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,3,1,4,0,0,0
"Fall from, out of or through building or structure",CHAPTER XX External causes of morbidity and mortality,,41,6,47,43,7,50,31,8,39,39,6,45,51,4,55,39,2,41,40,4,44,32,4,36,31,8,39,36,2,38
Fall from tree,CHAPTER XX External causes of morbidity and mortality,,0,0,0,3,0,3,1,0,1,0,0,0,4,0,4,1,0,1,1,0,1,2,0,2,2,0,2,3,0,3
Fall from cliff,CHAPTER XX External causes of morbidity and mortality,,6,3,9,13,2,15,15,1,16,7,1,8,7,1,8,16,2,18,11,3,14,8,2,10,7,3,10,7,1,8
Diving or jumping into water causing injury other than drowning or submersion,CHAPTER XX External causes of morbidity and mortality,,1,0,1,1,0,1,4,0,4,0,0,0,2,0,2,3,2,5,5,1,6,1,0,1,3,0,3,2,0,2
Other fall from one level to another,CHAPTER XX External causes of morbidity and mortality,,3,0,3,8,6,14,7,1,8,6,1,7,13,2,15,15,0,15,8,0,8,16,4,20,13,4,17,10,2,12
Other fall on same level,CHAPTER XX External causes of morbidity and mortality,,11,17,28,8,15,23,13,12,25,20,17,37,23,24,47,10,23,33,11,12,23,9,8,17,16,12,28,12,12,24
Unspecified fall,CHAPTER XX External causes of morbidity and mortality,,325,422,747,313,346,659,436,556,992,371,474,845,480,615,"1,095",593,717,"1,310",840,"1,051","1,891",833,"1,064","1,897",934,"1,084","2,018",958,"1,165","2,123"
Exposure to inanimate mechanical forces,CHAPTER XX External causes of morbidity and mortality,,93,7,100,68,15,83,76,12,88,76,8,84,72,11,83,77,16,93,84,13,97,96,11,107,88,9,97,61,11,72
"Struck by thrown, projected or falling object",CHAPTER XX External causes of morbidity and mortality,,29,3,32,21,5,26,17,3,20,25,0,25,21,1,22,31,9,40,19,5,24,24,1,25,32,4,36,21,2,23
Striking against or struck by sports equipment,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0
Striking against or struck by other objects,CHAPTER XX External causes of morbidity and mortality,,3,0,3,3,5,8,7,2,9,5,4,9,2,0,2,1,3,4,4,2,6,5,4,9,2,2,4,1,0,1
"Caught, crushed, jammed or pinched in or between objects",CHAPTER XX External causes of morbidity and mortality,,22,1,23,13,3,16,8,2,10,15,1,16,7,0,7,9,0,9,34,1,35,27,0,27,18,0,18,19,1,20
"Contact with lifting and transmission devices, not elsewhere classified",CHAPTER XX External causes of morbidity and mortality,,6,0,6,3,0,3,3,1,4,2,0,2,10,0,10,6,1,7,1,0,1,1,0,1,1,0,1,1,0,1
Contact with sharp glass,CHAPTER XX External causes of morbidity and mortality,,2,1,3,4,1,5,5,0,5,4,1,5,4,1,5,6,1,7,2,0,2,5,1,6,5,1,6,1,2,3
"Contact with knife, sword or dagger",CHAPTER XX External causes of morbidity and mortality,,0,1,1,0,0,0,1,1,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
Contact with nonpowered hand tool,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Contact with powered lawnmower,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with other powered hand tools and household machinery,CHAPTER XX External causes of morbidity and mortality,,2,0,2,3,0,3,3,0,3,0,0,0,1,0,1,2,0,2,2,0,2,4,0,4,3,0,3,3,1,4
Contact with agricultural machinery,CHAPTER XX External causes of morbidity and mortality,,4,1,5,1,0,1,1,0,1,2,0,2,6,0,6,2,0,2,4,0,4,3,0,3,3,0,3,0,0,0
Contact with other and unspecified machinery,CHAPTER XX External causes of morbidity and mortality,,6,0,6,9,0,9,9,0,9,7,0,7,3,1,4,11,0,11,3,1,4,8,0,8,7,2,9,6,0,6
Handgun discharge,CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
"Rifle, shotgun and larger firearm discharge",CHAPTER XX External causes of morbidity and mortality,,3,0,3,5,0,5,9,0,9,7,0,7,3,0,3,1,0,1,2,1,3,4,0,4,5,0,5,2,1,3
Discharge from other and unspecified firearms,CHAPTER XX External causes of morbidity and mortality,,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Explosion and rupture of boiler,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Explosion and rupture of gas cylinder,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,0,1,2,0,2,2,0,2,2,0,2,1,0,1,1,0,1,2,3,5,3,0,3,0,0,0
"Explosion and rupture of pressurized tyre, pipe or hose",CHAPTER XX External causes of morbidity and mortality,,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,2,2,0,2,0,0,0,1,0,1
Explosion and rupture of other specified pressurized devices,CHAPTER XX External causes of morbidity and mortality,,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Discharge of firework,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
Explosion of other materials,CHAPTER XX External causes of morbidity and mortality,,2,0,2,0,0,0,5,0,5,2,0,2,2,1,3,2,0,2,7,0,7,6,0,6,3,0,3,0,1,1
Exposure to high-pressure jet,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to noise,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exposure to vibration,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Foreign body entering into or through eye or natural orifice,CHAPTER XX External causes of morbidity and mortality,,3,0,3,0,1,1,1,1,2,1,1,2,3,1,4,1,0,1,0,0,0,2,1,3,1,0,1,0,0,0
Foreign body or object entering through skin,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,1,1,1,1,2,1,0,1,0,0,0,1,0,1
Contact with hypodermic needle,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4
Exposure to other and unspecified inanimate mechanical forces,CHAPTER XX External causes of morbidity and mortality,,4,0,4,3,0,3,3,2,5,1,0,1,2,1,3,1,0,1,1,1,2,0,1,1,1,0,1,1,1,2
Exposure to animate mechanical forces,CHAPTER XX External causes of morbidity and mortality,,10,6,16,13,3,16,14,3,17,15,8,23,18,3,21,12,5,17,15,6,21,15,3,18,16,8,24,11,5,16
"Hit, struck, kicked, twisted, bitten or scratched by another person",CHAPTER XX External causes of morbidity and mortality,,2,0,2,6,1,7,2,0,2,1,3,4,2,0,2,1,1,2,5,3,8,3,0,3,3,0,3,2,0,2
Striking against or bumped into by another person,CHAPTER XX External causes of morbidity and mortality,,2,1,3,0,0,0,2,0,2,3,0,3,1,0,1,0,0,0,1,0,1,3,0,3,0,0,0,2,0,2
"Crushed, pushed or stepped on by crowd or human stampede",CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bitten by rat,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Bitten or struck by dog,CHAPTER XX External causes of morbidity and mortality,,1,2,3,0,1,1,1,0,1,1,1,2,1,0,1,4,1,5,1,1,2,1,1,2,1,1,2,0,3,3
Bitten or struck by other mammals,CHAPTER XX External causes of morbidity and mortality,,3,3,6,3,0,3,7,2,9,4,3,7,9,3,12,2,2,4,0,1,1,3,1,4,7,4,11,2,1,3
Contact with marine animal,CHAPTER XX External causes of morbidity and mortality,,2,0,2,1,0,1,1,0,1,4,0,4,2,0,2,4,0,4,2,1,3,3,0,3,3,1,4,1,1,2
Bitten or stung by nonvenomous insect and other nonvenomous arthropods,CHAPTER XX External causes of morbidity and mortality,,0,0,0,1,0,1,0,1,1,1,1,2,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1
Bitten or struck by crocodile or alligator,CHAPTER XX External causes of morbidity and mortality,,0,0,0,2,1,3,1,0,1,1,0,1,1,0,1,1,1,2,5,0,5,1,0,1,0,1,1,2,0,2
Bitten or crushed by other reptiles,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contact with plant thorns and spines and sharp leaves,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Exposure to other and unspecified animate mechanical forces,CHAPTER XX External causes of morbidity and mortality,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,0
Accidental drowning and submersion,CHAPTER XX External causes of morbidity and mortality,,145,39,184,149,51,200,172,50,222,131,36,167,159,35,194,162,52,214,152,42,194,145,40,185,152,48,200,117,43,160
Drowning and submersion while in bath-tub,CHAPTER XX External causes of morbidity and mortality,,1,4,5,4,11,15,8,3,11,5,3,8,4,6,10,6,8,14,6,6,12,3,5,8,5,8,13,5,6,11
Drowning and submersion following fall into bath-tub,CHAPTER XX External causes of morbidity and mortality,,0,1,1,1,1,2,2,0,2,1,3,4,2,0,2,1,1,2,2,1,3,0,2,2,0,1,1,1,0,1
Drowning and submersion while in swimming-pool,CHAPTER XX External causes of morbidity and mortality,,15,7,22,16,14,30,16,10,26,9,2,11,12,6,18,16,4,20,15,6,21,10,2,12,18,4,22,8,10,18
Drowning and submersion following fall into swimming-pool,CHAPTER XX External causes of morbidity and mortality,,8,9,17,7,2,9,12,7,19,8,3,11,10,4,14,9,12,21,11,5,16,7,9,16,13,10,23,8,10,18
Drowning and submersion while in natural water,CHAPTER XX External causes of morbidity and mortality,,54,6,60,79,14,93,89,15,104,64,13,77,84,9,93,83,15,98,69,15,84,63,12,75,67,17,84,59,8,67
Drowning and submersion following fall into natural water,CHAPTER XX External causes of morbidity and mortality,,29,4,33,24,5,29,23,7,30,31,9,40,27,5,32,30,8,38,34,6,40,38,6,44,22,3,25,24,5,29
Other specified drowning and submersion,CHAPTER XX External causes of morbidity and mortality,,10,3,13,1,2,3,13,5,18,7,3,10,8,4,12,8,2,10,8,2,10,5,3,8,6,1,7,6,0,6
Unspecified drowning and submersion,CHAPTER XX External causes of morbidity and mortality,,28,5,33,17,2,19,9,3,12,6,0,6,12,1,13,9,2,11,7,1,8,19,1,20,21,4,25,6,4,10
Other accidental threats to breathing,CHAPTER XX External causes of morbidity and mortality,,138,86,224,139,93,232,130,84,214,134,105,239,140,92,232,96,74,170,90,85,175,117,70,187,108,87,195,100,59,159
Accidental suffocation and strangulation in bed,CHAPTER XX External causes of morbidity and mortality,,3,3,6,7,4,11,9,2,11,4,1,5,10,6,16,6,10,16,6,6,12,3,0,3,5,8,13,8,4,12
Other accidental hanging and strangulation,CHAPTER XX External causes of morbidity and mortality,,12,2,14,10,3,13,16,3,19,14,5,19,17,2,19,20,1,21,8,3,11,6,1,7,12,1,13,13,1,14
"Threat to breathing due to cave-in, falling earth and other substances",CHAPTER XX External causes of morbidity and mortality,,1,0,1,1,0,1,1,0,1,1,0,1,2,0,2,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0
Inhalation of gastric contents,CHAPTER XX External causes of morbidity and mortality,,16,11,27,16,14,30,15,11,26,13,12,25,12,16,28,3,8,11,9,6,15,12,6,18,7,5,12,7,7,14
